candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
S2MO00460,2022,"SHEPARD, TIMOTHY JACOB",DEMOCRATIC PARTY,Open seat,S,46204.71,36191.48,-420.74,{C00751156},2021-12-31 00:00:00,C00751156,TIMOTHY SHEPARD DEMOCRATS
S2MO00478,2022,"SIFTON, SCOTT MR.",DEMOCRATIC PARTY,Open seat,S,1014389.23,851364.75,163024.48,{C00768465},2022-03-31 00:00:00,C00768465,SIFTON FOR US SENATE
S2MO00486,2022,"STRAUSS, NICHOLAS CRANE",UNKNOWN,Open seat,S,1721.80,1854.12,-132.32,{C00770529},2022-03-31 00:00:00,C00770529,STRAUSS FOR 22
S2MO00494,2022,"KELLY, JEWEL WILLIAM JR",DEMOCRATIC PARTY,Open seat,S,10520.23,8529.30,1990.93,{C00770172},2022-03-31 00:00:00,C00770172,JEWEL KELLY FOR US SENATE
S2MO00510,2022,"BRINKMANN, JOHN MICHAEL",REPUBLICAN PARTY,Open seat,S,0.0,0.0,0.0,{C00771873},,C00771873,BRINKMANN FOR THE PEOPLE
S2MO00528,2022,"KUNCE, LUCAS",DEMOCRATIC PARTY,Open seat,S,3325684.81,2383649.45,942035.36,{C00771972},2022-03-31 00:00:00,C00771972,LUCAS KUNCE FOR MISSOURI
S2MO00536,2022,"GREITENS, ERIC",REPUBLICAN PARTY,Open seat,S,1869078.12,1523915.55,345162.57,{C00774059},2022-03-31 00:00:00,C00774059,GREITENS FOR US SENATE
S2MO00544,2022,"SCHMITT, ERIC",REPUBLICAN PARTY,Open seat,S,2924218.83,1622644.72,1301574.11,{C00775015},2022-03-31 00:00:00,C00775015,SCHMITT FOR SENATE
S2MO00551,2022,"TODER, SPENCER ROSS",DEMOCRATIC PARTY,Open seat,S,434868.00,411445.56,23392.44,{C00777227},2022-03-31 00:00:00,,
S2MO00569,2022,"PORTER, DESHON",REPUBLICAN PARTY,Open seat,S,0.0,0.0,0.0,{C00777177},,C00777177,DESHON PORTER FOR SENATE
S2MO00577,2022,"MCQUEEN, ELDON DAN",REPUBLICAN PARTY,Open seat,S,0.00,0.00,0.00,{C00715896},2021-12-31 00:00:00,C00715896,MCQUEEN FOR CONGRESS
S2MO00585,2022,"MCCLOSKEY, MARK T",REPUBLICAN PARTY,Open seat,S,1015660.98,977465.41,38195.57,{C00779967},2022-03-31 00:00:00,C00779967,MARK MCCLOSKEY FOR MISSOURI
S2MO00593,2022,"HARTZLER, VICKY J",REPUBLICAN PARTY,Open seat,S,2431638.16,1550529.87,1526540.22,{C00464602},2022-03-31 00:00:00,C00464602,VICKY HARTZLER FOR SENATE
S2MO00601,2022,"PRICE, STEVEN CRAIG",INDEPENDENT,Open seat,S,9563.88,9545.75,18.13,{C00787226},2022-03-31 00:00:00,C00787226,STEVE PRICE FOR US SENATE
S2MO00627,2022,"SIMS, DAVID E. MR.",REPUBLICAN PARTY,Open seat,S,0.00,0.00,249.55,{C00790873},2022-01-31 00:00:00,C00790873,CONSERVATIVES MATTER
S2MO00635,2022,"ALAM, MD RABBI DR",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00791566},,C00791566,DR MD ALAM FOR US SENATE
S2MO00643,2022,"SCHATZ, DAVE",REPUBLICAN PARTY,Open seat,S,2258267.45,123758.02,2134509.43,{C00794388},2022-03-31 00:00:00,C00794388,DAVE SCHATZ FOR SENATE
S2MO00650,2022,"ROSS, GENA DR.",DEMOCRATIC PARTY,Open seat,S,5456.61,4649.94,806.67,{C00772277},2022-03-31 00:00:00,C00772277,DR. GENA ROSS FOR US SENATE CANDIDATE 2022
S2MO00668,2022,"TUNNELL, LEONARD",REPUBLICAN PARTY,Open seat,S,0.0,0.0,0.0,{C00803130},,C00803130,TUNNELL FOR SENATE
S2MO00676,2022,"HURLA, ANDREW",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00803841},,C00803841,HURLA FOR US SENATE
S2MO00684,2022,"ROLEN, LEWIS WARREN MR.",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00809269},,C00809269,COMMITTEE TO ELECT LEWIS ROLEN FOR U S SENATE
S2MO00692,2022,"BUSCH VALENTINE, TRUDY",DEMOCRATIC PARTY,Open seat,S,894.00,894.00,0.00,{C00810754},2022-03-31 00:00:00,C00810754,TRUDY BUSCH VALENTINE FOR SENATE
S2MO00700,2022,"JOINER, RICKY",REPUBLICAN PARTY,,S,0.0,0.0,0.0,{C00811919},,C00811919,COMMITTEE TO ELECT RICKY JOINER
S8MO00269,2022,"WRIGHT, CARLA (COFFEE)",DEMOCRATIC PARTY,Challenger,S,0.0,0.0,0.0,"{C00678508,C00810713}",,C00810713,COMMITTEE TO ELECT CARLA COFFEE WRIGHT
